"item_id";"pv";"fav";"cart";"buy";"user_buy_rate"
5045605;4;0;0;2;1.0
5049777;1;0;0;1;1.0
5099156;0;0;0;1;1.0
5121988;1;0;0;1;1.0
40340;2;0;0;1;1.0
42305;0;0;0;1;1.0
50917;1;0;0;1;1.0
56825;3;0;2;1;1.0
95931;2;1;1;1;1.0
97689;3;0;0;1;1.0
120958;1;0;1;2;1.0
139801;0;0;0;1;1.0
155619;1;0;1;1;1.0
180334;8;0;0;1;1.0
190019;2;0;0;1;1.0
245060;0;0;0;1;1.0
295429;1;1;0;1;1.0
302819;0;0;0;1;1.0
327335;10;0;1;1;1.0
364022;3;1;0;1;1.0
433913;2;0;1;1;1.0
457515;2;0;0;1;1.0
460114;2;0;0;1;1.0
460303;0;0;0;1;1.0
518766;3;0;0;1;1.0
518956;1;0;0;1;1.0
533172;2;0;0;1;1.0
553281;5;0;0;1;1.0
602188;1;0;0;1;1.0
666074;2;0;0;1;1.0
674947;3;0;0;1;1.0
688415;3;0;0;1;1.0
797490;8;0;0;1;1.0
857379;0;0;0;1;1.0
926351;7;0;1;1;1.0
993140;1;0;0;1;1.0
1011866;2;0;0;2;1.0
1066723;1;0;0;1;1.0
1124197;1;0;0;1;1.0
1161905;0;0;0;1;1.0
1206898;0;0;0;1;1.0
1208325;2;0;0;1;1.0
1208888;2;0;0;1;1.0
1254527;0;0;1;1;1.0
1281120;3;0;0;1;1.0
1299629;2;0;0;2;1.0
1319719;5;0;0;1;1.0
1379762;1;0;0;1;1.0
1381943;0;0;1;1;1.0
1387295;2;0;0;1;1.0
1420805;0;0;0;1;1.0
1438918;1;0;0;1;1.0
1454159;1;0;0;1;1.0
1506778;1;0;1;1;1.0
1515627;0;0;0;1;1.0
1522714;4;0;1;1;1.0
1525196;2;0;0;1;1.0
1573451;0;0;0;1;1.0
1576781;1;0;0;1;1.0
1608146;8;0;1;1;1.0
1730821;0;0;0;1;1.0
1808993;0;0;0;1;1.0
1829687;1;0;0;1;1.0
