"user_id";"frequency";"recent";"fscore";"rscore";"class"
50;19;"2017-12-03";2;5;"Valuable Customer"
41;12;"2017-12-03";2;5;"Valuable Customer"
61;11;"2017-12-03";2;5;"Valuable Customer"
116;10;"2017-12-02";2;4;"Valuable Customer"
75;9;"2017-12-02";2;4;"Valuable Customer"
101;7;"2017-12-03";2;5;"Valuable Customer"
2;7;"2017-12-02";2;4;"Valuable Customer"
80;7;"2017-12-01";2;4;"Valuable Customer"
46;6;"2017-12-03";2;5;"Valuable Customer"
114;5;"2017-12-03";2;5;"Valuable Customer"
39;5;"2017-12-03";2;5;"Valuable Customer"
128;4;"2017-12-03";1;5;"Potential Customer"
66;4;"2017-12-03";1;5;"Potential Customer"
68;4;"2017-12-03";1;5;"Potential Customer"
4;4;"2017-11-30";1;3;"At Risk Customer"
45;3;"2017-12-03";1;5;"Potential Customer"
28;3;"2017-12-03";1;5;"Potential Customer"
62;3;"2017-12-03";1;5;"Potential Customer"
33;3;"2017-11-30";1;3;"At Risk Customer"
25;3;"2017-11-30";1;3;"At Risk Customer"
120;3;"2017-11-28";1;2;"At Risk Customer"
105;3;"2017-11-27";1;2;"At Risk Customer"
59;3;"2017-11-27";1;2;"At Risk Customer"
108;2;"2017-12-03";1;5;"Potential Customer"
48;2;"2017-12-03";1;5;"Potential Customer"
98;2;"2017-12-03";1;5;"Potential Customer"
91;2;"2017-12-03";1;5;"Potential Customer"
65;2;"2017-12-03";1;5;"Potential Customer"
73;2;"2017-12-02";1;4;"Potential Customer"
57;2;"2017-12-02";1;4;"Potential Customer"
123;2;"2017-12-02";1;4;"Potential Customer"
109;2;"2017-12-02";1;4;"Potential Customer"
16;2;"2017-12-02";1;4;"Potential Customer"
77;2;"2017-12-02";1;4;"Potential Customer"
72;2;"2017-12-01";1;4;"Potential Customer"
96;2;"2017-12-01";1;4;"Potential Customer"
81;2;"2017-11-29";1;3;"At Risk Customer"
83;2;"2017-11-27";1;2;"At Risk Customer"
106;2;"2017-11-27";1;2;"At Risk Customer"
88;1;"2017-12-03";1;5;"Potential Customer"
51;1;"2017-12-02";1;4;"Potential Customer"
113;1;"2017-12-02";1;4;"Potential Customer"
40;1;"2017-12-02";1;4;"Potential Customer"
71;1;"2017-12-01";1;4;"Potential Customer"
17;1;"2017-12-01";1;4;"Potential Customer"
76;1;"2017-12-01";1;4;"Potential Customer"
20;1;"2017-12-01";1;4;"Potential Customer"
38;1;"2017-12-01";1;4;"Potential Customer"
95;1;"2017-11-30";1;3;"At Risk Customer"
110;1;"2017-11-29";1;3;"At Risk Customer"
126;1;"2017-11-29";1;3;"At Risk Customer"
24;1;"2017-11-28";1;2;"At Risk Customer"
44;1;"2017-11-28";1;2;"At Risk Customer"
82;1;"2017-11-28";1;2;"At Risk Customer"
90;1;"2017-11-27";1;2;"At Risk Customer"
92;1;"2017-11-27";1;2;"At Risk Customer"
103;1;"2017-11-27";1;2;"At Risk Customer"
107;1;"2017-11-27";1;2;"At Risk Customer"
30;1;"2017-11-27";1;2;"At Risk Customer"
11;1;"2017-11-26";1;1;"At Risk Customer"
86;1;"2017-11-25";1;1;"At Risk Customer"
